time_est,time_ame/chi,t,value
1/1/2012 5:00,1/1/2012 4:00,1,62.41296057
1/1/2012 6:00,1/1/2012 5:00,2,47.69526505
1/1/2012 7:00,1/1/2012 6:00,3,30.91172308
1/1/2012 8:00,1/1/2012 7:00,4,20.79399241
1/1/2012 9:00,1/1/2012 8:00,5,24.02329626
1/1/2012 10:00,1/1/2012 9:00,6,25.01077253
1/1/2012 11:00,1/1/2012 10:00,7,37.90361482
1/1/2012 12:00,1/1/2012 11:00,8,50.15693959
1/1/2012 13:00,1/1/2012 12:00,9,57.49884722
1/1/2012 14:00,1/1/2012 13:00,10,96.86581805
1/1/2012 15:00,1/1/2012 14:00,11,106.3435134
1/1/2012 16:00,1/1/2012 15:00,12,131.6932146
1/1/2012 17:00,1/1/2012 16:00,13,147.6440541
1/1/2012 18:00,1/1/2012 17:00,14,142.4107056
1/1/2012 19:00,1/1/2012 18:00,15,147.3228684
1/1/2012 20:00,1/1/2012 19:00,16,159.5656886
1/1/2012 21:00,1/1/2012 20:00,17,161.0815825
1/1/2012 22:00,1/1/2012 21:00,18,150.565899
1/1/2012 23:00,1/1/2012 22:00,19,128.0880754
1/2/2012 0:00,1/1/2012 23:00,20,127.6996421
1/2/2012 1:00,1/2/2012 0:00,21,126.9321868
1/2/2012 2:00,1/2/2012 1:00,22,119.0388882
1/2/2012 3:00,1/2/2012 2:00,23,87.54051336
1/2/2012 4:00,1/2/2012 3:00,24,71.40345897
1/2/2012 5:00,1/2/2012 4:00,25,249.5444755
1/2/2012 6:00,1/2/2012 5:00,26,155.5023971
1/2/2012 7:00,1/2/2012 6:00,27,76.90485185
1/2/2012 8:00,1/2/2012 7:00,28,48.93474776
1/2/2012 9:00,1/2/2012 8:00,29,39.4671173
1/2/2012 10:00,1/2/2012 9:00,30,43.40639421
1/2/2012 11:00,1/2/2012 10:00,31,34.39536427
1/2/2012 12:00,1/2/2012 11:00,32,46.52463179
1/2/2012 13:00,1/2/2012 12:00,33,99.74948337
1/2/2012 14:00,1/2/2012 13:00,34,111.3986309
1/2/2012 15:00,1/2/2012 14:00,35,94.75646625
1/2/2012 16:00,1/2/2012 15:00,36,100.1288099
1/2/2012 17:00,1/2/2012 16:00,37,105.920338
1/2/2012 18:00,1/2/2012 17:00,38,93.65890011
1/2/2012 19:00,1/2/2012 18:00,39,104.2886462
1/2/2012 20:00,1/2/2012 19:00,40,128.6980994
1/2/2012 21:00,1/2/2012 20:00,41,115.843137
1/2/2012 22:00,1/2/2012 21:00,42,164.8288772
1/2/2012 23:00,1/2/2012 22:00,43,169.2466929
1/3/2012 0:00,1/2/2012 23:00,44,191.6982364
1/3/2012 1:00,1/3/2012 0:00,45,146.6678229
1/3/2012 2:00,1/3/2012 1:00,46,113.0282094
1/3/2012 3:00,1/3/2012 2:00,47,89.86560033
1/3/2012 4:00,1/3/2012 3:00,48,78.05622319
1/3/2012 5:00,1/3/2012 4:00,49,62.83031796
1/3/2012 6:00,1/3/2012 5:00,50,66.78819218
1/3/2012 7:00,1/3/2012 6:00,51,61.92481773
1/3/2012 8:00,1/3/2012 7:00,52,54.59754267
1/3/2012 9:00,1/3/2012 8:00,53,52.37549176
1/3/2012 10:00,1/3/2012 9:00,54,63.66640907
1/3/2012 11:00,1/3/2012 10:00,55,76.07704485
1/3/2012 12:00,1/3/2012 11:00,56,111.8813986
1/3/2012 13:00,1/3/2012 12:00,57,149.7536892
1/3/2012 14:00,1/3/2012 13:00,58,155.1460993
1/3/2012 15:00,1/3/2012 14:00,59,161.3474992
