time_est,time_ame/chi,t,value
1/1/2012 5:00,1/1/2012 4:00,1,49.58816017
1/1/2012 6:00,1/1/2012 5:00,2,49.13464046
1/1/2012 7:00,1/1/2012 6:00,3,40.25316125
1/1/2012 8:00,1/1/2012 7:00,4,29.19914058
1/1/2012 9:00,1/1/2012 8:00,5,33.57553303
1/1/2012 10:00,1/1/2012 9:00,6,32.54665376
1/1/2012 11:00,1/1/2012 10:00,7,35.60542497
1/1/2012 12:00,1/1/2012 11:00,8,55.71309373
1/1/2012 13:00,1/1/2012 12:00,9,64.39812508
1/1/2012 14:00,1/1/2012 13:00,10,78.0925656
1/1/2012 15:00,1/1/2012 14:00,11,97.8579119
1/1/2012 16:00,1/1/2012 15:00,12,112.9286076
1/1/2012 17:00,1/1/2012 16:00,13,129.2155656
1/1/2012 18:00,1/1/2012 17:00,14,147.7524745
1/1/2012 19:00,1/1/2012 18:00,15,131.1523747
1/1/2012 20:00,1/1/2012 19:00,16,134.6904086
1/1/2012 21:00,1/1/2012 20:00,17,129.5859667
1/1/2012 22:00,1/1/2012 21:00,18,151.3417397
1/1/2012 23:00,1/1/2012 22:00,19,192.7883598
1/2/2012 0:00,1/1/2012 23:00,20,142.7434483
1/2/2012 1:00,1/2/2012 0:00,21,112.6589734
1/2/2012 2:00,1/2/2012 1:00,22,97.99844534
1/2/2012 3:00,1/2/2012 2:00,23,81.68039313
1/2/2012 4:00,1/2/2012 3:00,24,67.45431743
1/2/2012 5:00,1/2/2012 4:00,25,223.6393901
1/2/2012 6:00,1/2/2012 5:00,26,173.8979416
1/2/2012 7:00,1/2/2012 6:00,27,84.59724768
1/2/2012 8:00,1/2/2012 7:00,28,45.91651052
1/2/2012 9:00,1/2/2012 8:00,29,32.63865619
1/2/2012 10:00,1/2/2012 9:00,30,30.51382621
1/2/2012 11:00,1/2/2012 10:00,31,36.27415807
1/2/2012 12:00,1/2/2012 11:00,32,66.69301543
1/2/2012 13:00,1/2/2012 12:00,33,79.2499404
1/2/2012 14:00,1/2/2012 13:00,34,115.1333393
1/2/2012 15:00,1/2/2012 14:00,35,106.5155808
1/2/2012 16:00,1/2/2012 15:00,36,106.470935
1/2/2012 17:00,1/2/2012 16:00,37,109.6024946
1/2/2012 18:00,1/2/2012 17:00,38,101.961121
1/2/2012 19:00,1/2/2012 18:00,39,102.4660218
1/2/2012 20:00,1/2/2012 19:00,40,131.3871422
1/2/2012 21:00,1/2/2012 20:00,41,130.1793724
1/2/2012 22:00,1/2/2012 21:00,42,140.7010236
1/2/2012 23:00,1/2/2012 22:00,43,171.7957788
1/3/2012 0:00,1/2/2012 23:00,44,155.4404305
1/3/2012 1:00,1/3/2012 0:00,45,121.0957336
1/3/2012 2:00,1/3/2012 1:00,46,79.75115974
1/3/2012 3:00,1/3/2012 2:00,47,72.5559648
1/3/2012 4:00,1/3/2012 3:00,48,59.30660596
1/3/2012 5:00,1/3/2012 4:00,49,46.57311783
1/3/2012 6:00,1/3/2012 5:00,50,36.05934376
1/3/2012 7:00,1/3/2012 6:00,51,33.27080697
1/3/2012 8:00,1/3/2012 7:00,52,20.42481639
1/3/2012 9:00,1/3/2012 8:00,53,21.51149524
1/3/2012 10:00,1/3/2012 9:00,54,25.99722618
1/3/2012 11:00,1/3/2012 10:00,55,45.3386796
1/3/2012 12:00,1/3/2012 11:00,56,104.3655346
1/3/2012 13:00,1/3/2012 12:00,57,123.9852205
1/3/2012 14:00,1/3/2012 13:00,58,124.4596888
1/3/2012 15:00,1/3/2012 14:00,59,122.5330552
1/3/2012 16:00,1/3/2012 15:00,60,114.5910224
1/3/2012 17:00,1/3/2012 16:00,61,125.9161659
1/3/2012 18:00,1/3/2012 17:00,62,157.4997414
1/3/2012 19:00,1/3/2012 18:00,63,145.0152906
1/3/2012 20:00,1/3/2012 19:00,64,126.0135324
1/3/2012 21:00,1/3/2012 20:00,65,122.8735654
1/3/2012 22:00,1/3/2012 21:00,66,158.1049332
1/3/2012 23:00,1/3/2012 22:00,67,159.0853169
1/4/2012 0:00,1/3/2012 23:00,68,153.1933093
1/4/2012 1:00,1/4/2012 0:00,69,126.883094
1/4/2012 2:00,1/4/2012 1:00,70,102.4523983
1/4/2012 3:00,1/4/2012 2:00,71,86.86891201
1/4/2012 4:00,1/4/2012 3:00,72,75.05631183
1/4/2012 5:00,1/4/2012 4:00,73,70.29270463
1/4/2012 6:00,1/4/2012 5:00,74,54.67842276
1/4/2012 7:00,1/4/2012 6:00,75,46.62468984
1/4/2012 8:00,1/4/2012 7:00,76,38.51420137
1/4/2012 9:00,1/4/2012 8:00,77,33.80449558
1/4/2012 10:00,1/4/2012 9:00,78,43.96057558
1/4/2012 11:00,1/4/2012 10:00,79,75.63739012
1/4/2012 12:00,1/4/2012 11:00,80,105.1661877
1/4/2012 13:00,1/4/2012 12:00,81,138.8872388
1/4/2012 14:00,1/4/2012 13:00,82,161.702437
1/4/2012 15:00,1/4/2012 14:00,83,150.2633373
1/4/2012 16:00,1/4/2012 15:00,84,131.7238978
1/4/2012 17:00,1/4/2012 16:00,85,119.5792869
1/4/2012 18:00,1/4/2012 17:00,86,111.6759186
1/4/2012 19:00,1/4/2012 18:00,87,110.8785344
1/4/2012 20:00,1/4/2012 19:00,88,123.468527
