time_est,time_ame/chi,t,value
1/1/2012 5:00,1/1/2012 4:00,1,109.7145335
1/1/2012 6:00,1/1/2012 5:00,2,90.29977894
1/1/2012 7:00,1/1/2012 6:00,3,76.16808492
1/1/2012 8:00,1/1/2012 7:00,4,53.52224814
1/1/2012 9:00,1/1/2012 8:00,5,44.26902651
1/1/2012 10:00,1/1/2012 9:00,6,52.6474987
1/1/2012 11:00,1/1/2012 10:00,7,72.19040282
1/1/2012 12:00,1/1/2012 11:00,8,87.59504552
1/1/2012 13:00,1/1/2012 12:00,9,100.7313411
1/1/2012 14:00,1/1/2012 13:00,10,156.7517642
1/1/2012 15:00,1/1/2012 14:00,11,165.3766789
1/1/2012 16:00,1/1/2012 15:00,12,196.0057857
1/1/2012 17:00,1/1/2012 16:00,13,188.0707612
1/1/2012 18:00,1/1/2012 17:00,14,193.5364472
1/1/2012 19:00,1/1/2012 18:00,15,177.0645745
1/1/2012 20:00,1/1/2012 19:00,16,183.3745493
1/1/2012 21:00,1/1/2012 20:00,17,185.1923958
1/1/2012 22:00,1/1/2012 21:00,18,200.9635461
1/1/2012 23:00,1/1/2012 22:00,19,189.2921964
1/2/2012 0:00,1/1/2012 23:00,20,191.0145501
1/2/2012 1:00,1/2/2012 0:00,21,156.5341414
1/2/2012 2:00,1/2/2012 1:00,22,157.8319328
1/2/2012 3:00,1/2/2012 2:00,23,124.8853774
1/2/2012 4:00,1/2/2012 3:00,24,128.1435881
1/2/2012 5:00,1/2/2012 4:00,25,360.8398757
1/2/2012 6:00,1/2/2012 5:00,26,276.6758386
1/2/2012 7:00,1/2/2012 6:00,27,99.68311803
1/2/2012 8:00,1/2/2012 7:00,28,66.8604842
1/2/2012 9:00,1/2/2012 8:00,29,45.2608363
1/2/2012 10:00,1/2/2012 9:00,30,48.40557103
1/2/2012 11:00,1/2/2012 10:00,31,65.06197798
1/2/2012 12:00,1/2/2012 11:00,32,76.85103232
1/2/2012 13:00,1/2/2012 12:00,33,124.1845822
1/2/2012 14:00,1/2/2012 13:00,34,166.4421177
1/2/2012 15:00,1/2/2012 14:00,35,169.9674882
1/2/2012 16:00,1/2/2012 15:00,36,155.9965378
1/2/2012 17:00,1/2/2012 16:00,37,165.5203365
1/2/2012 18:00,1/2/2012 17:00,38,179.8944701
1/2/2012 19:00,1/2/2012 18:00,39,176.4410966
1/2/2012 20:00,1/2/2012 19:00,40,167.2467839
1/2/2012 21:00,1/2/2012 20:00,41,201.4579054
1/2/2012 22:00,1/2/2012 21:00,42,222.6636429
1/2/2012 23:00,1/2/2012 22:00,43,226.6925206
1/3/2012 0:00,1/2/2012 23:00,44,212.7291971
1/3/2012 1:00,1/3/2012 0:00,45,205.2506718
1/3/2012 2:00,1/3/2012 1:00,46,142.5053372
1/3/2012 3:00,1/3/2012 2:00,47,108.8623436
1/3/2012 4:00,1/3/2012 3:00,48,96.42999387
1/3/2012 5:00,1/3/2012 4:00,49,66.3942621
1/3/2012 6:00,1/3/2012 5:00,50,52.34148101
1/3/2012 7:00,1/3/2012 6:00,51,47.75593693
1/3/2012 8:00,1/3/2012 7:00,52,41.2152395
1/3/2012 9:00,1/3/2012 8:00,53,38.04453991
1/3/2012 10:00,1/3/2012 9:00,54,46.90131594
1/3/2012 11:00,1/3/2012 10:00,55,86.7563461
1/3/2012 12:00,1/3/2012 11:00,56,150.1793589
1/3/2012 13:00,1/3/2012 12:00,57,203.3813478
1/3/2012 14:00,1/3/2012 13:00,58,212.5696397
1/3/2012 15:00,1/3/2012 14:00,59,226.7564404
1/3/2012 16:00,1/3/2012 15:00,60,200.5533471
1/3/2012 17:00,1/3/2012 16:00,61,167.5995369
1/3/2012 18:00,1/3/2012 17:00,62,180.50657
1/3/2012 19:00,1/3/2012 18:00,63,188.8255197
1/3/2012 20:00,1/3/2012 19:00,64,203.3114387
1/3/2012 21:00,1/3/2012 20:00,65,227.7537451
1/3/2012 22:00,1/3/2012 21:00,66,247.5459818
1/3/2012 23:00,1/3/2012 22:00,67,246.2970252
1/4/2012 0:00,1/3/2012 23:00,68,221.5080799
1/4/2012 1:00,1/4/2012 0:00,69,194.8548279
1/4/2012 2:00,1/4/2012 1:00,70,161.437568
1/4/2012 3:00,1/4/2012 2:00,71,131.1780466
1/4/2012 4:00,1/4/2012 3:00,72,99.65430872
1/4/2012 5:00,1/4/2012 4:00,73,94.2710968
1/4/2012 6:00,1/4/2012 5:00,74,87.69880923
1/4/2012 7:00,1/4/2012 6:00,75,62.02235854
1/4/2012 8:00,1/4/2012 7:00,76,50.21106557
1/4/2012 9:00,1/4/2012 8:00,77,40.01528031
1/4/2012 10:00,1/4/2012 9:00,78,56.54617384
1/4/2012 11:00,1/4/2012 10:00,79,102.0363283
1/4/2012 12:00,1/4/2012 11:00,80,140.3315478
1/4/2012 13:00,1/4/2012 12:00,81,219.0940909
1/4/2012 14:00,1/4/2012 13:00,82,226.3945493
1/4/2012 15:00,1/4/2012 14:00,83,205.6258962
1/4/2012 16:00,1/4/2012 15:00,84,203.6435854
1/4/2012 17:00,1/4/2012 16:00,85,197.1948424
1/4/2012 18:00,1/4/2012 17:00,86,200.8134127
1/4/2012 19:00,1/4/2012 18:00,87,201.3671891
1/4/2012 20:00,1/4/2012 19:00,88,187.8958731
1/4/2012 21:00,1/4/2012 20:00,89,197.6733355
1/4/2012 22:00,1/4/2012 21:00,90,231.0142309
1/4/2012 23:00,1/4/2012 22:00,91,273.4716968
1/5/2012 0:00,1/4/2012 23:00,92,254.9710824
1/5/2012 1:00,1/5/2012 0:00,93,207.805631
1/5/2012 2:00,1/5/2012 1:00,94,163.7127044
1/5/2012 3:00,1/5/2012 2:00,95,127.353893
1/5/2012 4:00,1/5/2012 3:00,96,114.2048594
1/5/2012 5:00,1/5/2012 4:00,97,89.9215413
1/5/2012 6:00,1/5/2012 5:00,98,76.06853883
1/5/2012 7:00,1/5/2012 6:00,99,74.20735648
1/5/2012 8:00,1/5/2012 7:00,100,62.33171774
1/5/2012 9:00,1/5/2012 8:00,101,55.8500958
1/5/2012 10:00,1/5/2012 9:00,102,80.93737082
1/5/2012 11:00,1/5/2012 10:00,103,99.18471628
1/5/2012 12:00,1/5/2012 11:00,104,168.1692718
1/5/2012 13:00,1/5/2012 12:00,105,202.0489379
1/5/2012 14:00,1/5/2012 13:00,106,229.5635045
1/5/2012 15:00,1/5/2012 14:00,107,204.3349775
1/5/2012 16:00,1/5/2012 15:00,108,184.4726636
1/5/2012 17:00,1/5/2012 16:00,109,159.0848649
1/5/2012 18:00,1/5/2012 17:00,110,170.7867195
1/5/2012 19:00,1/5/2012 18:00,111,175.0953914
1/5/2012 20:00,1/5/2012 19:00,112,158.9443521
1/5/2012 21:00,1/5/2012 20:00,113,180.2037791
1/5/2012 22:00,1/5/2012 21:00,114,210.6802959
1/5/2012 23:00,1/5/2012 22:00,115,252.96827
1/6/2012 0:00,1/5/2012 23:00,116,235.109468
1/6/2012 1:00,1/6/2012 0:00,117,194.58576
1/6/2012 2:00,1/6/2012 1:00,118,161.3802096
1/6/2012 3:00,1/6/2012 2:00,119,112.6604006
1/6/2012 4:00,1/6/2012 3:00,120,85.65347077
1/6/2012 5:00,1/6/2012 4:00,121,76.14253211
1/6/2012 6:00,1/6/2012 5:00,122,66.94567288
1/6/2012 7:00,1/6/2012 6:00,123,55.87042031
1/6/2012 8:00,1/6/2012 7:00,124,49.66421009
1/6/2012 9:00,1/6/2012 8:00,125,49.89093109
1/6/2012 10:00,1/6/2012 9:00,126,62.11329168
1/6/2012 11:00,1/6/2012 10:00,127,109.168853
1/6/2012 12:00,1/6/2012 11:00,128,176.0705175
1/6/2012 13:00,1/6/2012 12:00,129,212.915745
1/6/2012 14:00,1/6/2012 13:00,130,204.7035473
1/6/2012 15:00,1/6/2012 14:00,131,202.5137065
1/6/2012 16:00,1/6/2012 15:00,132,197.1698136
1/6/2012 17:00,1/6/2012 16:00,133,193.0838242
1/6/2012 18:00,1/6/2012 17:00,134,189.4472095
1/6/2012 19:00,1/6/2012 18:00,135,173.4775596
1/6/2012 20:00,1/6/2012 19:00,136,175.060408
1/6/2012 21:00,1/6/2012 20:00,137,187.0270963
1/6/2012 22:00,1/6/2012 21:00,138,240.2465179
1/6/2012 23:00,1/6/2012 22:00,139,264.8955983
1/7/2012 0:00,1/6/2012 23:00,140,219.7844083
1/7/2012 1:00,1/7/2012 0:00,141,192.9790499
1/7/2012 2:00,1/7/2012 1:00,142,162.8730105
1/7/2012 3:00,1/7/2012 2:00,143,130.4633313
1/7/2012 4:00,1/7/2012 3:00,144,105.2810659
