t,solar,wind
1,0,0.446
2,0,0.474
3,0,0.446
4,0,0.421
5,0.334,0.413
6,0.717,0.388
7,0.836,0.294
8,0.855,0.275
9,0.834,0.249
10,0.754,0.234
11,0.685,0.25
12,0.713,0.232
13,0.463,0.211
14,0.026,0.29
15,0,0.438
16,0,0.426
17,0,0.404
18,0,0.401
19,0,0.343
20,0,0.349
21,0,0.375
22,0,0.269
23,0,0.221
24,0,0.212
25,0,0.211
26,0,0.236
27,0,0.318
28,0,0.367
29,0.038,0.31
30,0.175,0.184
31,0.322,0.132
32,0.485,0.093
33,0.523,0.062
34,0.438,0.018
35,0.351,0.001
36,0.356,0.002
37,0.364,0
38,0.145,0.016
39,0,0.155
40,0,0.214
41,0,0.159
42,0,0.1
43,0,0.079
44,0,0.052
45,0,0.024
46,0,0.032
47,0,0.106
48,0,0.257
49,0,0.424
50,0,0.547
51,0,0.659
52,0,0.69
53,0.514,0.624
54,0.756,0.575
55,0.827,0.732
56,0.851,0.662
57,0.853,0.587
58,0.842,0.568
59,0.814,0.593
60,0.755,0.635
61,0.632,0.619
62,0.324,0.56
63,0,0.658
64,0,0.751
65,0,0.776
66,0,0.793
67,0,0.799
68,0,0.817
69,0,0.829
70,0,0.82
71,0,0.803
72,0,0.786
73,0,0.776
74,0,0.76
75,0,0.743
76,0,0.713
77,0.61,0.616
78,0.786,0.302
79,0.841,0.174
80,0.852,0.21
81,0.846,0.226
82,0.832,0.212
83,0.804,0.186
84,0.746,0.159
85,0.628,0.12
86,0.322,0.127
87,0,0.146
88,0,0.161
89,0,0.177
90,0,0.208
91,0,0.249
92,0,0.295
93,0,0.355
94,0,0.439
95,0,0.541
96,0,0.606
97,0,0.635
98,0,0.641
99,0,0.622
100,0,0.595
101,0.588,0.533
102,0.765,0.265
103,0.822,0.07
104,0.834,0.062
105,0.824,0.082
106,0.804,0.109
107,0.764,0.131
108,0.671,0.138
109,0.531,0.126
110,0.225,0.163
111,0,0.244
112,0,0.268
113,0,0.239
114,0,0.187
115,0,0.141
116,0,0.12
117,0,0.139
118,0,0.214
119,0,0.312
120,0,0.398
121,0,0.436
122,0,0.474
123,0,0.526
124,0,0.593
125,0.385,0.563
126,0.538,0.293
127,0.66,0.186
128,0.692,0.299
129,0.661,0.416
130,0.619,0.519
131,0.64,0.595
132,0.614,0.621
133,0.462,0.43
134,0.166,0.31
135,0,0.387
136,0,0.342
137,0,0.273
138,0,0.468
139,0,0.503
140,0,0.411
141,0,0.252
142,0,0.236
143,0,0.355
144,0,0.553
145,0,0.629
146,0,0.54
147,0,0.491
148,0,0.474
149,0.01,0.404
150,0.077,0.223
151,0.167,0.188
152,0.249,0.204
153,0.313,0.163
154,0.357,0.131
155,0.372,0.1
156,0.315,0.076
157,0.206,0.043
158,0.054,0.038
159,0,0.05
160,0,0.074
161,0,0.103
162,0,0.131
163,0,0.151
164,0,0.182
165,0,0.239
166,0,0.299
167,0,0.377
168,0,0.491
169,0,0.575
170,0,0.587
171,0,0.555
172,0,0.519
173,0.087,0.475
174,0.222,0.313
175,0.495,0.265
176,0.756,0.168
177,0.785,0.084
178,0.768,0.055
179,0.72,0.045
180,0.628,0.06
181,0.446,0.121
182,0.11,0.319
183,0,0.56
184,0,0.586
185,0,0.515
186,0,0.45
187,0,0.383
188,0,0.324
189,0,0.299
190,0,0.323
191,0,0.287
192,0,0.257
193,0,0.228
194,0,0.192
195,0,0.162
196,0,0.137
197,0.051,0.11
198,0.157,0.14
199,0.216,0.12
200,0.262,0.1
201,0.262,0.081
202,0.22,0.067
203,0.149,0.066
204,0.081,0.069
205,0.034,0.07
206,0,0.083
207,0,0.126
208,0,0.169
209,0,0.188
210,0,0.181
211,0,0.173
212,0,0.175
213,0,0.164
214,0,0.148
215,0,0.141
216,0,0.123
217,0,0.114
218,0,0.099
219,0,0.071
220,0,0.044
221,0.135,0.02
222,0.321,0.051
223,0.438,0.108
224,0.524,0.112
225,0.534,0.094
226,0.522,0.078
227,0.48,0.066
228,0.441,0.056
229,0.321,0.047
230,0.087,0.058
231,0,0.119
232,0,0.191
233,0,0.22
234,0,0.189
235,0,0.128
236,0,0.061
237,0,0.042
238,0,0.088
239,0,0.075
240,0,0.023
241,0,0.02
242,0,0.027
243,0,0.035
244,0,0.052
245,0.039,0.065
246,0.095,0.094
247,0.114,0.219
248,0.182,0.279
249,0.282,0.258
250,0.326,0.334
251,0.324,0.479
252,0.317,0.585
253,0.358,0.617
254,0.188,0.679
255,0,0.774
256,0,0.813
257,0,0.841
258,0,0.838
259,0,0.8
260,0,0.789
261,0,0.798
262,0,0.797
263,0,0.77
264,0,0.739
265,0,0.71
266,0,0.683
267,0,0.656
268,0.002,0.644
269,0.576,0.514
270,0.759,0.488
271,0.826,0.549
272,0.851,0.44
273,0.85,0.322
274,0.835,0.215
275,0.802,0.133
276,0.734,0.082
277,0.598,0.054
278,0.275,0.079
279,0,0.229
280,0,0.355
281,0,0.408
282,0,0.415
283,0,0.404
284,0,0.352
285,0,0.302
286,0,0.279
287,0,0.219
288,0,0.159
289,0,0.137
290,0,0.129
291,0,0.124
292,0,0.121
293,0.37,0.1
294,0.709,0.192
295,0.794,0.236
296,0.829,0.201
297,0.832,0.151
298,0.817,0.111
299,0.78,0.083
300,0.695,0.075
301,0.548,0.091
302,0.228,0.183
303,0,0.407
304,0,0.527
305,0,0.573
306,0,0.497
307,0,0.383
308,0,0.284
309,0,0.199
310,0,0.143
311,0,0.117
312,0,0.102
313,0,0.074
314,0,0.048
315,0,0.03
316,0,0.02
317,0.063,0.016
318,0.188,0.014
319,0.332,0.01
320,0.525,0.008
321,0.665,0.007
322,0.699,0.008
323,0.723,0.008
324,0.635,0.006
325,0.466,0.005
326,0.156,0.018
327,0,0.095
328,0,0.179
329,0,0.229
330,0,0.201
331,0,0.143
332,0,0.09
333,0,0.053
334,0,0.02
335,0,0.002
336,0,0.012
